Duration,Date,Pulse,Maxpulse,Calories,Total_Workout_Hours,Calories_Per_Min
60,01-12-2020,110,130,409.1,1,6.82
60,02-12-2020,117,145,479,1,7.98
60,03-12-2020,103,135,340,1,5.67
45,04-12-2020,109,175,282.4,0.75,6.28
45,05-12-2020,117,148,406,0.75,9.02
60,06-12-2020,102,127,300,1,5.00
60,07-12-2020,110,136,374,1,6.23
60,08-12-2020,104,134,253.3,1,4.22
30,09-12-2020,109,133,195.1,0.5,6.50
60,10-12-2020,98,124,269,1,4.48
60,11-12-2020,103,147,329.3,1,5.49
60,12-12-2020,100,120,250.7,1,4.18
60,13-12-2020,106,128,345.3,1,5.76
60,14-12-2020,104,132,379.3,1,6.32
60,15-12-2020,98,123,275,1,4.58
60,16-12-2020,98,120,215.2,1,3.59
60,17-12-2020,100,120,300,1,5.00
45,18-12-2020,90,112,291.2,0.75,6.47
60,19-12-2020,103,123,323,1,5.38
45,20-12-2020,97,125,243,0.75,5.40
60,21-12-2020,108,131,364.2,1,6.07
45,21-12-2020,100,119,282,0.75,6.27
60,23-12-2020,130,101,300,1,5.00
45,24-12-2020,105,132,246,0.75,5.47
60,25-12-2020,102,126,334.5,1,5.58
60,25-12-2020,100,120,250,1,4.17
60,27-12-2020,92,118,241,1,4.02
60,28-12-2020,103,132,291.2,1,4.85
60,29-12-2020,100,132,280,1,4.67
60,30-12-2020,102,129,380.3,1,6.34
60,31-12-2020,92,115,243,1,4.05
